diseases,symptons
Typhoid," high fever,  toxic look (typhos),  fatigue,  vomiting,  belly pain"
Typhoid," high fever,  toxic look (typhos),  fatigue,  vomiting,  belly pain"
Typhoid," high fever,  toxic look (typhos),  fatigue,  vomiting,  belly pain"
hepatitis A," vomiting,  mild fever,  dark urine,  diarrhoea,  nausea,  abdominal pain"
hepatitis A," vomiting,  mild fever,  dark urine,  diarrhoea,  nausea,  abdominal pain"
hepatitis A," vomiting,  mild fever,  dark urine,  diarrhoea,  nausea,  abdominal pain"
hepatitis A," vomiting,  mild fever,  dark urine,  diarrhoea,  nausea,  abdominal pain"
Hepatitis B,"itching,  yellow urine,  receiving unsterile injections,  yellowish skin"
Hepatitis B,"itching,  yellow urine,  receiving unsterile injections,  yellowish skin"
Hepatitis B,"itching,  yellow urine,  receiving unsterile injections,  yellowish skin"
Hepatitis B,"itching,  yellow urine,  receiving unsterile injections,  yellowish skin"
Hepatitis C," loss of appetite,  yellowing of eyes,  yellowish skin,  fatigue,  nausea,  family history"
Hepatitis C," loss of appetite,  yellowing of eyes,  yellowish skin,  fatigue,  nausea,  family history"
Hepatitis D," yellowing of eyes,  joint pain,  fatigue,  yellowish skin"
Hepatitis D," yellowing of eyes,  joint pain,  fatigue,  yellowish skin"
Hepatitis D," yellowing of eyes,  joint pain,  fatigue,  yellowish skin"
Hepatitis D," yellowing of eyes,  joint pain,  fatigue,  yellowish skin"
Hepatitis E," yellowing of eyes,  coma,  joint pain,  high fever,  vomiting,  fatigue"
Hepatitis E," yellowing of eyes,  coma,  joint pain,  high fever,  vomiting,  fatigue"
Hepatitis E," yellowing of eyes,  coma,  joint pain,  high fever,  vomiting,  fatigue"
Hepatitis E," yellowing of eyes,  coma,  joint pain,  high fever,  vomiting,  fatigue"
Alcoholic hepatitis," history of alcohol consumption,  vomiting,  yellowish skin,  fluid overload,  distention of abdomen"
Alcoholic hepatitis," history of alcohol consumption,  vomiting,  yellowish skin,  fluid overload,  distention of abdomen"
Tuberculosis," vomiting,  cough,  chills,  breathlessness,  malaise,  sweating,  weight loss"
Tuberculosis," vomiting,  cough,  chills,  breathlessness,  malaise,  sweating,  weight loss"
Tuberculosis," vomiting,  cough,  chills,  breathlessness,  malaise,  sweating,  weight loss"
Tuberculosis," vomiting,  cough,  chills,  breathlessness,  malaise,  sweating,  weight loss"
Tuberculosis," vomiting,  cough,  chills,  breathlessness,  malaise,  sweating,  weight loss"
Common Cold," congestion,  runny nose,  high fever,  headache,  chest pain,  chills"
Common Cold," congestion,  runny nose,  high fever,  headache,  chest pain,  chills"
Common Cold," congestion,  runny nose,  high fever,  headache,  chest pain,  chills"
Common Cold," congestion,  runny nose,  high fever,  headache,  chest pain,  chills"
Common Cold," congestion,  runny nose,  high fever,  headache,  chest pain,  chills"
Pneumonia," phlegm,  chest pain,  fatigue,  rusty sputum,  malaise"
Pneumonia," phlegm,  chest pain,  fatigue,  rusty sputum,  malaise"
Pneumonia," phlegm,  chest pain,  fatigue,  rusty sputum,  malaise"
Pneumonia," phlegm,  chest pain,  fatigue,  rusty sputum,  malaise"
Dimorphic hemmorhoids(piles)," irritation in anus,  constipation,  pain in anal region,  pain during bowel movements"
Dimorphic hemmorhoids(piles)," irritation in anus,  constipation,  pain in anal region,  pain during bowel movements"
Heart attack," vomiting,  breathlessness,  chest pain,  sweating"
Varicose veins," swollen blood vessels,  fatigue,  bruising,  cramps,  swollen legs,  obesity"
Varicose veins," swollen blood vessels,  fatigue,  bruising,  cramps,  swollen legs,  obesity"
Hypothyroidism," swollen extremeties,  enlarged thyroid,  weight gain,  puffy face and eyes,  depression,  mood swings"
Hypothyroidism," swollen extremeties,  enlarged thyroid,  weight gain,  puffy face and eyes,  depression,  mood swings"
Hypothyroidism," swollen extremeties,  enlarged thyroid,  weight gain,  puffy face and eyes,  depression,  mood swings"
Hypothyroidism," swollen extremeties,  enlarged thyroid,  weight gain,  puffy face and eyes,  depression,  mood swings"
Hyperthyroidism," fatigue,  fast heart rate,  sweating,  muscle weakness,  abnormal menstruation"
Hyperthyroidism," fatigue,  fast heart rate,  sweating,  muscle weakness,  abnormal menstruation"
Hyperthyroidism," fatigue,  fast heart rate,  sweating,  muscle weakness,  abnormal menstruation"
Hyperthyroidism," fatigue,  fast heart rate,  sweating,  muscle weakness,  abnormal menstruation"
Hypoglycemia," anxiety,  drying and tingling lips,  sweating,  vomiting,  palpitations,  blurred and distorted vision,  nausea"
Hypoglycemia," anxiety,  drying and tingling lips,  sweating,  vomiting,  palpitations,  blurred and distorted vision,  nausea"
Hypoglycemia," anxiety,  drying and tingling lips,  sweating,  vomiting,  palpitations,  blurred and distorted vision,  nausea"
Hypoglycemia," anxiety,  drying and tingling lips,  sweating,  vomiting,  palpitations,  blurred and distorted vision,  nausea"
Osteoarthristis," hip joint pain,  neck pain,  knee pain,  painful walking,  swelling joints,  joint pain"
Osteoarthristis," hip joint pain,  neck pain,  knee pain,  painful walking,  swelling joints,  joint pain"
Arthritis," movement stiffness,  stiff neck,  muscle weakness,  swelling joints"
Arthritis," movement stiffness,  stiff neck,  muscle weakness,  swelling joints"
(vertigo) Paroymsal  Positional Vertigo," vomiting,  headache,  spinning movements,  nausea"
(vertigo) Paroymsal  Positional Vertigo," vomiting,  headache,  spinning movements,  nausea"
Acne," pus filled pimples,  scurring,  skin rash,  blackheads"
Urinary tract infection," foul smell of urine,  continuous feel of urine,  burning micturition,  bladder discomfort"
Psoriasis," inflammatory nails,  silver like dusting,  small dents in nails,  skin peeling,  skin rash,  joint pain"
Psoriasis," inflammatory nails,  silver like dusting,  small dents in nails,  skin peeling,  skin rash,  joint pain"
Impetigo," blister,  high fever,  skin rash,  red sore around nose,  yellow crust ooze"
Impetigo," blister,  high fever,  skin rash,  red sore around nose,  yellow crust ooze"
Fungal infection,"itching,  nodal skin eruptions,  skin rash,  dischromic  patches"
Allergy," shivering,  chills,  continuous sneezing,  watering from eyes"
GERD," ulcers on tongue,  vomiting,  cough,  chest pain,  stomach pain"
GERD," ulcers on tongue,  vomiting,  cough,  chest pain,  stomach pain"
Chronic cholestasis," loss of appetite,  abdominal pain,  yellowing of eyes, itching,  vomiting"
Chronic cholestasis," loss of appetite,  abdominal pain,  yellowing of eyes, itching,  vomiting"
Drug Reaction," skin rash,  spotting  urination,  burning micturition, itching,  stomach pain"
Drug Reaction," skin rash,  spotting  urination,  burning micturition, itching,  stomach pain"
Peptic ulcer diseae," abdominal pain,  indigestion,  vomiting,  passage of gases,  internal itching,  loss of appetite"
Peptic ulcer diseae," abdominal pain,  indigestion,  vomiting,  passage of gases,  internal itching,  loss of appetite"
AIDS," extra marital contacts,  patches in throat,  high fever,  muscle wasting"
Diabetes ," blurred and distorted vision,  lethargy,  obesity,  increased appetite,  polyuria,  fatigue"
Diabetes ," blurred and distorted vision,  lethargy,  obesity,  increased appetite,  polyuria,  fatigue"
Diabetes ," blurred and distorted vision,  lethargy,  obesity,  increased appetite,  polyuria,  fatigue"
Diabetes ," blurred and distorted vision,  lethargy,  obesity,  increased appetite,  polyuria,  fatigue"
Gastroenteritis," diarrhoea,  sunken eyes,  dehydration,  vomiting"
Bronchial Asthma," high fever,  breathlessness,  mucoid sputum,  fatigue,  family history"
Bronchial Asthma," high fever,  breathlessness,  mucoid sputum,  fatigue,  family history"
Hypertension ," lack of concentration,  dizziness,  loss of balance,  headache,  chest pain"
Hypertension ," lack of concentration,  dizziness,  loss of balance,  headache,  chest pain"
Migraine," excessive hunger,  indigestion,  acidity,  depression,  visual disturbances,  blurred and distorted vision,  headache"
Migraine," excessive hunger,  indigestion,  acidity,  depression,  visual disturbances,  blurred and distorted vision,  headache"
Migraine," excessive hunger,  indigestion,  acidity,  depression,  visual disturbances,  blurred and distorted vision,  headache"
Migraine," excessive hunger,  indigestion,  acidity,  depression,  visual disturbances,  blurred and distorted vision,  headache"
Cervical spondylosis," dizziness,  neck pain,  back pain,  weakness in limbs"
Cervical spondylosis," dizziness,  neck pain,  back pain,  weakness in limbs"
Paralysis (brain hemorrhage)," headache,  weakness of one body side,  vomiting,  altered sensorium"
Jaundice," yellowish skin,  fatigue,  abdominal pain,  weight loss,  dark urine, itching,  high fever"
Jaundice," yellowish skin,  fatigue,  abdominal pain,  weight loss,  dark urine, itching,  high fever"
Malaria," vomiting,  headache,  muscle pain,  high fever"
Malaria," vomiting,  headache,  muscle pain,  high fever"
Chicken pox,"itching,  swelled lymph nodes,  high fever,  red spots over body,  skin rash,  headache,  malaise"
Chicken pox,"itching,  swelled lymph nodes,  high fever,  red spots over body,  skin rash,  headache,  malaise"
Chicken pox,"itching,  swelled lymph nodes,  high fever,  red spots over body,  skin rash,  headache,  malaise"
Chicken pox,"itching,  swelled lymph nodes,  high fever,  red spots over body,  skin rash,  headache,  malaise"
Dengue," vomiting,  pain behind the eyes,  malaise,  nausea"
Dengue," vomiting,  pain behind the eyes,  malaise,  nausea"
Dengue," vomiting,  pain behind the eyes,  malaise,  nausea"
Dengue," vomiting,  pain behind the eyes,  malaise,  nausea"
Typhoid," constipation,  belly pain,  high fever,  fatigue,  toxic look (typhos)"
Typhoid," constipation,  belly pain,  high fever,  fatigue,  toxic look (typhos)"
Typhoid," constipation,  belly pain,  high fever,  fatigue,  toxic look (typhos)"
Typhoid," constipation,  belly pain,  high fever,  fatigue,  toxic look (typhos)"
hepatitis A," yellowish skin,  loss of appetite,  diarrhoea,  joint pain,  yellowing of eyes,  mild fever,  muscle pain"
hepatitis A," yellowish skin,  loss of appetite,  diarrhoea,  joint pain,  yellowing of eyes,  mild fever,  muscle pain"
hepatitis A," yellowish skin,  loss of appetite,  diarrhoea,  joint pain,  yellowing of eyes,  mild fever,  muscle pain"
hepatitis A," yellowish skin,  loss of appetite,  diarrhoea,  joint pain,  yellowing of eyes,  mild fever,  muscle pain"
Hepatitis B," yellowish skin,  yellow urine,  receiving unsterile injections,  abdominal pain,  fatigue,  receiving blood transfusion"
Hepatitis B," yellowish skin,  yellow urine,  receiving unsterile injections,  abdominal pain,  fatigue,  receiving blood transfusion"
Hepatitis B," yellowish skin,  yellow urine,  receiving unsterile injections,  abdominal pain,  fatigue,  receiving blood transfusion"
Hepatitis B," yellowish skin,  yellow urine,  receiving unsterile injections,  abdominal pain,  fatigue,  receiving blood transfusion"
Hepatitis C," fatigue,  family history,  yellowing of eyes,  nausea,  loss of appetite"
Hepatitis C," fatigue,  family history,  yellowing of eyes,  nausea,  loss of appetite"
Hepatitis D," loss of appetite,  dark urine,  fatigue,  vomiting"
Hepatitis D," loss of appetite,  dark urine,  fatigue,  vomiting"
Hepatitis D," loss of appetite,  dark urine,  fatigue,  vomiting"
Hepatitis D," loss of appetite,  dark urine,  fatigue,  vomiting"
Hepatitis E," abdominal pain,  high fever,  stomach bleeding,  fatigue,  yellowing of eyes,  coma,  yellowish skin"
Hepatitis E," abdominal pain,  high fever,  stomach bleeding,  fatigue,  yellowing of eyes,  coma,  yellowish skin"
Hepatitis E," abdominal pain,  high fever,  stomach bleeding,  fatigue,  yellowing of eyes,  coma,  yellowish skin"
Hepatitis E," abdominal pain,  high fever,  stomach bleeding,  fatigue,  yellowing of eyes,  coma,  yellowish skin"
Alcoholic hepatitis," fluid overload,  swelling of stomach,  distention of abdomen,  abdominal pain,  yellowish skin"
Alcoholic hepatitis," fluid overload,  swelling of stomach,  distention of abdomen,  abdominal pain,  yellowish skin"
Tuberculosis," chills,  high fever,  chest pain,  weight loss"
Tuberculosis," chills,  high fever,  chest pain,  weight loss"
Tuberculosis," chills,  high fever,  chest pain,  weight loss"
Tuberculosis," chills,  high fever,  chest pain,  weight loss"
Tuberculosis," chills,  high fever,  chest pain,  weight loss"
Common Cold," continuous sneezing,  throat irritation,  malaise,  fatigue"
Common Cold," continuous sneezing,  throat irritation,  malaise,  fatigue"
Common Cold," continuous sneezing,  throat irritation,  malaise,  fatigue"
Common Cold," continuous sneezing,  throat irritation,  malaise,  fatigue"
Common Cold," continuous sneezing,  throat irritation,  malaise,  fatigue"
Pneumonia," fast heart rate,  cough,  phlegm,  malaise"
Pneumonia," fast heart rate,  cough,  phlegm,  malaise"
Pneumonia," fast heart rate,  cough,  phlegm,  malaise"
Pneumonia," fast heart rate,  cough,  phlegm,  malaise"
Dimorphic hemmorhoids(piles)," pain during bowel movements,  irritation in anus,  constipation,  pain in anal region,  bloody stool"
Dimorphic hemmorhoids(piles)," pain during bowel movements,  irritation in anus,  constipation,  pain in anal region,  bloody stool"
Heart attack," sweating,  chest pain,  vomiting,  breathlessness"
Varicose veins," prominent veins on calf,  cramps,  swollen legs,  fatigue,  bruising,  obesity"
Varicose veins," prominent veins on calf,  cramps,  swollen legs,  fatigue,  bruising,  obesity"
Hypothyroidism," enlarged thyroid,  abnormal menstruation,  brittle nails,  weight gain,  mood swings"
Hypothyroidism," enlarged thyroid,  abnormal menstruation,  brittle nails,  weight gain,  mood swings"
Hypothyroidism," enlarged thyroid,  abnormal menstruation,  brittle nails,  weight gain,  mood swings"
Hypothyroidism," enlarged thyroid,  abnormal menstruation,  brittle nails,  weight gain,  mood swings"
Hyperthyroidism," diarrhoea,  fatigue,  mood swings,  restlessness,  excessive hunger,  abnormal menstruation"
Hyperthyroidism," diarrhoea,  fatigue,  mood swings,  restlessness,  excessive hunger,  abnormal menstruation"
Hyperthyroidism," diarrhoea,  fatigue,  mood swings,  restlessness,  excessive hunger,  abnormal menstruation"
Hyperthyroidism," diarrhoea,  fatigue,  mood swings,  restlessness,  excessive hunger,  abnormal menstruation"
Hypoglycemia," sweating,  excessive hunger,  vomiting,  palpitations"
Hypoglycemia," sweating,  excessive hunger,  vomiting,  palpitations"
Hypoglycemia," sweating,  excessive hunger,  vomiting,  palpitations"
Hypoglycemia," sweating,  excessive hunger,  vomiting,  palpitations"
Osteoarthristis," knee pain,  neck pain,  hip joint pain,  joint pain,  painful walking"
Osteoarthristis," knee pain,  neck pain,  hip joint pain,  joint pain,  painful walking"
Arthritis," muscle weakness,  swelling joints,  stiff neck,  painful walking"
Arthritis," muscle weakness,  swelling joints,  stiff neck,  painful walking"
(vertigo) Paroymsal  Positional Vertigo," vomiting,  unsteadiness,  spinning movements,  nausea,  loss of balance"
(vertigo) Paroymsal  Positional Vertigo," vomiting,  unsteadiness,  spinning movements,  nausea,  loss of balance"
Acne," scurring,  blackheads,  pus filled pimples,  skin rash"
Urinary tract infection," bladder discomfort,  continuous feel of urine,  foul smell of urine,  burning micturition"
Psoriasis," inflammatory nails,  small dents in nails,  silver like dusting,  skin peeling"
Psoriasis," inflammatory nails,  small dents in nails,  silver like dusting,  skin peeling"
Impetigo," high fever,  yellow crust ooze,  red sore around nose,  skin rash,  blister"
Impetigo," high fever,  yellow crust ooze,  red sore around nose,  skin rash,  blister"
Fungal infection,"itching,  dischromic  patches,  skin rash,  nodal skin eruptions"
Allergy," watering from eyes,  chills,  shivering,  continuous sneezing"
GERD," acidity,  ulcers on tongue,  chest pain,  cough,  vomiting,  stomach pain"
GERD," acidity,  ulcers on tongue,  chest pain,  cough,  vomiting,  stomach pain"
Chronic cholestasis," yellowish skin,  vomiting,  nausea, itching,  yellowing of eyes,  loss of appetite,  abdominal pain"
Chronic cholestasis," yellowish skin,  vomiting,  nausea, itching,  yellowing of eyes,  loss of appetite,  abdominal pain"
Drug Reaction," spotting  urination, itching,  burning micturition,  skin rash,  stomach pain"
Drug Reaction," spotting  urination, itching,  burning micturition,  skin rash,  stomach pain"
Peptic ulcer diseae," internal itching,  loss of appetite,  indigestion,  abdominal pain,  vomiting,  passage of gases"
Peptic ulcer diseae," internal itching,  loss of appetite,  indigestion,  abdominal pain,  vomiting,  passage of gases"
AIDS," high fever,  muscle wasting,  patches in throat,  extra marital contacts"
Diabetes ," obesity,  irregular sugar level,  increased appetite,  blurred and distorted vision,  weight loss,  fatigue,  lethargy"
Diabetes ," obesity,  irregular sugar level,  increased appetite,  blurred and distorted vision,  weight loss,  fatigue,  lethargy"
Diabetes ," obesity,  irregular sugar level,  increased appetite,  blurred and distorted vision,  weight loss,  fatigue,  lethargy"
Diabetes ," obesity,  irregular sugar level,  increased appetite,  blurred and distorted vision,  weight loss,  fatigue,  lethargy"
Gastroenteritis," dehydration,  vomiting,  sunken eyes,  diarrhoea"
Bronchial Asthma," high fever,  mucoid sputum,  cough,  family history,  fatigue"
Bronchial Asthma," high fever,  mucoid sputum,  cough,  family history,  fatigue"
Hypertension ," loss of balance,  dizziness,  lack of concentration,  chest pain,  headache"
Hypertension ," loss of balance,  dizziness,  lack of concentration,  chest pain,  headache"
Migraine," acidity,  irritability,  visual disturbances,  stiff neck"
Migraine," acidity,  irritability,  visual disturbances,  stiff neck"
Migraine," acidity,  irritability,  visual disturbances,  stiff neck"
Migraine," acidity,  irritability,  visual disturbances,  stiff neck"
Cervical spondylosis," neck pain,  weakness in limbs,  back pain,  dizziness,  loss of balance"
Cervical spondylosis," neck pain,  weakness in limbs,  back pain,  dizziness,  loss of balance"
Paralysis (brain hemorrhage)," weakness of one body side,  altered sensorium,  vomiting,  headache"
Jaundice," weight loss,  dark urine,  yellowish skin, itching,  high fever,  abdominal pain,  vomiting"
Jaundice," weight loss,  dark urine,  yellowish skin, itching,  high fever,  abdominal pain,  vomiting"
Malaria," muscle pain,  vomiting,  sweating,  chills"
Malaria," muscle pain,  vomiting,  sweating,  chills"
Chicken pox," fatigue,  malaise,  swelled lymph nodes,  lethargy, itching,  headache,  high fever"
Chicken pox," fatigue,  malaise,  swelled lymph nodes,  lethargy, itching,  headache,  high fever"
Chicken pox," fatigue,  malaise,  swelled lymph nodes,  lethargy, itching,  headache,  high fever"
Chicken pox," fatigue,  malaise,  swelled lymph nodes,  lethargy, itching,  headache,  high fever"
Dengue," fatigue,  back pain,  loss of appetite,  nausea,  headache,  muscle pain"
Dengue," fatigue,  back pain,  loss of appetite,  nausea,  headache,  muscle pain"
Dengue," fatigue,  back pain,  loss of appetite,  nausea,  headache,  muscle pain"
Dengue," fatigue,  back pain,  loss of appetite,  nausea,  headache,  muscle pain"
Typhoid," high fever,  constipation,  vomiting,  fatigue,  toxic look (typhos)"
Typhoid," high fever,  constipation,  vomiting,  fatigue,  toxic look (typhos)"
Typhoid," high fever,  constipation,  vomiting,  fatigue,  toxic look (typhos)"
Typhoid," high fever,  constipation,  vomiting,  fatigue,  toxic look (typhos)"
hepatitis A," diarrhoea,  loss of appetite,  dark urine,  nausea,  vomiting,  yellowish skin"
hepatitis A," diarrhoea,  loss of appetite,  dark urine,  nausea,  vomiting,  yellowish skin"
hepatitis A," diarrhoea,  loss of appetite,  dark urine,  nausea,  vomiting,  yellowish skin"
hepatitis A," diarrhoea,  loss of appetite,  dark urine,  nausea,  vomiting,  yellowish skin"
Hepatitis B," abdominal pain,  fatigue,  lethargy,  malaise,  yellowish skin,  dark urine"
Hepatitis B," abdominal pain,  fatigue,  lethargy,  malaise,  yellowish skin,  dark urine"
Hepatitis B," abdominal pain,  fatigue,  lethargy,  malaise,  yellowish skin,  dark urine"
Hepatitis B," abdominal pain,  fatigue,  lethargy,  malaise,  yellowish skin,  dark urine"
Hepatitis C," yellowish skin,  yellowing of eyes,  family history,  loss of appetite"
Hepatitis C," yellowish skin,  yellowing of eyes,  family history,  loss of appetite"
Hepatitis D," vomiting,  yellowish skin,  fatigue,  joint pain,  dark urine"
Hepatitis D," vomiting,  yellowish skin,  fatigue,  joint pain,  dark urine"
Hepatitis D," vomiting,  yellowish skin,  fatigue,  joint pain,  dark urine"
Hepatitis D," vomiting,  yellowish skin,  fatigue,  joint pain,  dark urine"
Hepatitis E," acute liver failure,  loss of appetite,  high fever,  dark urine"
Hepatitis E," acute liver failure,  loss of appetite,  high fever,  dark urine"
Hepatitis E," acute liver failure,  loss of appetite,  high fever,  dark urine"
Hepatitis E," acute liver failure,  loss of appetite,  high fever,  dark urine"
Alcoholic hepatitis," fluid overload,  distention of abdomen,  vomiting,  abdominal pain,  yellowish skin,  swelling of stomach,  history of alcohol consumption"
Alcoholic hepatitis," fluid overload,  distention of abdomen,  vomiting,  abdominal pain,  yellowish skin,  swelling of stomach,  history of alcohol consumption"
Tuberculosis," mild fever,  phlegm,  chills,  loss of appetite,  sweating"
Tuberculosis," mild fever,  phlegm,  chills,  loss of appetite,  sweating"
Tuberculosis," mild fever,  phlegm,  chills,  loss of appetite,  sweating"
Tuberculosis," mild fever,  phlegm,  chills,  loss of appetite,  sweating"
Tuberculosis," mild fever,  phlegm,  chills,  loss of appetite,  sweating"
Common Cold," malaise,  continuous sneezing,  sinus pressure,  runny nose,  congestion"
Common Cold," malaise,  continuous sneezing,  sinus pressure,  runny nose,  congestion"
Common Cold," malaise,  continuous sneezing,  sinus pressure,  runny nose,  congestion"
Common Cold," malaise,  continuous sneezing,  sinus pressure,  runny nose,  congestion"
Common Cold," malaise,  continuous sneezing,  sinus pressure,  runny nose,  congestion"
Pneumonia," sweating,  cough,  high fever,  phlegm,  fatigue"
Pneumonia," sweating,  cough,  high fever,  phlegm,  fatigue"
Pneumonia," sweating,  cough,  high fever,  phlegm,  fatigue"
Pneumonia," sweating,  cough,  high fever,  phlegm,  fatigue"
Dimorphic hemmorhoids(piles)," pain in anal region,  pain during bowel movements,  constipation,  irritation in anus"
Dimorphic hemmorhoids(piles)," pain in anal region,  pain during bowel movements,  constipation,  irritation in anus"
Heart attack," vomiting,  sweating,  chest pain,  breathlessness"
Varicose veins," swollen legs,  cramps,  obesity,  fatigue,  swollen blood vessels,  bruising"
Varicose veins," swollen legs,  cramps,  obesity,  fatigue,  swollen blood vessels,  bruising"
Hypothyroidism," depression,  mood swings,  puffy face and eyes,  fatigue,  brittle nails,  swollen extremeties"
Hypothyroidism," depression,  mood swings,  puffy face and eyes,  fatigue,  brittle nails,  swollen extremeties"
Hypothyroidism," depression,  mood swings,  puffy face and eyes,  fatigue,  brittle nails,  swollen extremeties"
Hypothyroidism," depression,  mood swings,  puffy face and eyes,  fatigue,  brittle nails,  swollen extremeties"
Hyperthyroidism," muscle weakness,  irritability,  abnormal menstruation,  mood swings,  fast heart rate"
Hyperthyroidism," muscle weakness,  irritability,  abnormal menstruation,  mood swings,  fast heart rate"
Hyperthyroidism," muscle weakness,  irritability,  abnormal menstruation,  mood swings,  fast heart rate"
Hyperthyroidism," muscle weakness,  irritability,  abnormal menstruation,  mood swings,  fast heart rate"
Hypoglycemia," anxiety,  slurred speech,  vomiting,  excessive hunger,  fatigue,  headache,  blurred and distorted vision"
Hypoglycemia," anxiety,  slurred speech,  vomiting,  excessive hunger,  fatigue,  headache,  blurred and distorted vision"
Hypoglycemia," anxiety,  slurred speech,  vomiting,  excessive hunger,  fatigue,  headache,  blurred and distorted vision"
Hypoglycemia," anxiety,  slurred speech,  vomiting,  excessive hunger,  fatigue,  headache,  blurred and distorted vision"
Osteoarthristis," swelling joints,  hip joint pain,  knee pain,  painful walking,  neck pain,  joint pain"
Osteoarthristis," swelling joints,  hip joint pain,  knee pain,  painful walking,  neck pain,  joint pain"
Arthritis," painful walking,  swelling joints,  movement stiffness,  muscle weakness"
Arthritis," painful walking,  swelling joints,  movement stiffness,  muscle weakness"
(vertigo) Paroymsal  Positional Vertigo," vomiting,  headache,  spinning movements,  nausea,  loss of balance,  unsteadiness"
(vertigo) Paroymsal  Positional Vertigo," vomiting,  headache,  spinning movements,  nausea,  loss of balance,  unsteadiness"
Acne," pus filled pimples,  blackheads,  scurring,  skin rash"
Urinary tract infection," burning micturition,  continuous feel of urine,  foul smell of urine,  bladder discomfort"
Psoriasis," skin rash,  skin peeling,  inflammatory nails,  silver like dusting,  small dents in nails,  joint pain"
Psoriasis," skin rash,  skin peeling,  inflammatory nails,  silver like dusting,  small dents in nails,  joint pain"
Impetigo," skin rash,  red sore around nose,  blister,  yellow crust ooze,  high fever"
Impetigo," skin rash,  red sore around nose,  blister,  yellow crust ooze,  high fever"
Fungal infection," dischromic  patches,  nodal skin eruptions,  skin rash, itching"
Allergy," chills,  shivering,  continuous sneezing,  watering from eyes"
GERD," acidity,  chest pain,  vomiting,  stomach pain"
GERD," acidity,  chest pain,  vomiting,  stomach pain"
Chronic cholestasis," vomiting,  nausea,  abdominal pain,  loss of appetite,  yellowing of eyes,  yellowish skin"
Chronic cholestasis," vomiting,  nausea,  abdominal pain,  loss of appetite,  yellowing of eyes,  yellowish skin"
Drug Reaction," stomach pain, itching,  skin rash,  burning micturition,  spotting  urination"
Drug Reaction," stomach pain, itching,  skin rash,  burning micturition,  spotting  urination"
Peptic ulcer diseae," vomiting,  internal itching,  abdominal pain,  loss of appetite"
Peptic ulcer diseae," vomiting,  internal itching,  abdominal pain,  loss of appetite"
AIDS," high fever,  muscle wasting,  extra marital contacts,  patches in throat"
Diabetes ," obesity,  weight loss,  restlessness,  excessive hunger,  polyuria"
Diabetes ," obesity,  weight loss,  restlessness,  excessive hunger,  polyuria"
Diabetes ," obesity,  weight loss,  restlessness,  excessive hunger,  polyuria"
Diabetes ," obesity,  weight loss,  restlessness,  excessive hunger,  polyuria"
Gastroenteritis," sunken eyes,  dehydration,  vomiting,  diarrhoea"
Bronchial Asthma," mucoid sputum,  fatigue,  cough,  family history,  high fever"
Bronchial Asthma," mucoid sputum,  fatigue,  cough,  family history,  high fever"
Hypertension ," dizziness,  lack of concentration,  headache,  loss of balance,  chest pain"
Hypertension ," dizziness,  lack of concentration,  headache,  loss of balance,  chest pain"
Migraine," indigestion,  excessive hunger,  headache,  visual disturbances,  acidity"
Migraine," indigestion,  excessive hunger,  headache,  visual disturbances,  acidity"
Migraine," indigestion,  excessive hunger,  headache,  visual disturbances,  acidity"
Migraine," indigestion,  excessive hunger,  headache,  visual disturbances,  acidity"
Cervical spondylosis," neck pain,  back pain,  dizziness,  weakness in limbs,  loss of balance"
Cervical spondylosis," neck pain,  back pain,  dizziness,  weakness in limbs,  loss of balance"
Paralysis (brain hemorrhage)," altered sensorium,  vomiting,  weakness of one body side,  headache"
Jaundice,"itching,  abdominal pain,  yellowish skin,  weight loss,  dark urine,  high fever"
Jaundice,"itching,  abdominal pain,  yellowish skin,  weight loss,  dark urine,  high fever"
Malaria," nausea,  diarrhoea,  high fever,  vomiting,  sweating"
Malaria," nausea,  diarrhoea,  high fever,  vomiting,  sweating"
Chicken pox,"itching,  loss of appetite,  swelled lymph nodes,  malaise,  skin rash,  red spots over body"
Chicken pox,"itching,  loss of appetite,  swelled lymph nodes,  malaise,  skin rash,  red spots over body"
Chicken pox,"itching,  loss of appetite,  swelled lymph nodes,  malaise,  skin rash,  red spots over body"
Chicken pox,"itching,  loss of appetite,  swelled lymph nodes,  malaise,  skin rash,  red spots over body"
Dengue," headache,  red spots over body,  skin rash,  malaise,  loss of appetite,  chills"
Dengue," headache,  red spots over body,  skin rash,  malaise,  loss of appetite,  chills"
Dengue," headache,  red spots over body,  skin rash,  malaise,  loss of appetite,  chills"
Dengue," headache,  red spots over body,  skin rash,  malaise,  loss of appetite,  chills"
Typhoid," belly pain,  abdominal pain,  constipation,  toxic look (typhos),  high fever,  fatigue"
Typhoid," belly pain,  abdominal pain,  constipation,  toxic look (typhos),  high fever,  fatigue"
Typhoid," belly pain,  abdominal pain,  constipation,  toxic look (typhos),  high fever,  fatigue"
Typhoid," belly pain,  abdominal pain,  constipation,  toxic look (typhos),  high fever,  fatigue"
hepatitis A," yellowing of eyes,  nausea,  loss of appetite,  dark urine"
hepatitis A," yellowing of eyes,  nausea,  loss of appetite,  dark urine"
hepatitis A," yellowing of eyes,  nausea,  loss of appetite,  dark urine"
hepatitis A," yellowing of eyes,  nausea,  loss of appetite,  dark urine"
Hepatitis B," yellowing of eyes,  malaise,  loss of appetite,  receiving unsterile injections, itching,  yellowish skin"
